movieId,title,genres,description
1,Inception (2010),Action|Sci-Fi|Thriller,A thief enters dreams to steal secrets but faces deeper dangers.
2,Shutter Island (2010),Mystery|Thriller,A detective investigates a psychiatric facility with dark secrets.
3,The Social Network (2010),Drama,The rise of Facebook creates conflict and betrayal.
4,Black Swan (2010),Drama|Thriller,A ballerina鈥檚 pursuit of perfection leads to psychological collapse.
5,How to Train Your Dragon (2010),Animation|Adventure|Fantasy,A Viking boy bonds with a dragon and changes his village.
6,Tangled (2010),Animation|Adventure|Romance,Princess Rapunzel breaks free to discover the world.
7,True Grit (2010),Adventure|Drama,A girl hires a marshal to avenge her father鈥檚 death.
8,The King's Speech (2010),Drama|Historical,A king struggles to overcome a stutter with the help of a therapist.
9,Tron: Legacy (2010),Action|Sci-Fi,A man enters a digital world to find his father.
10,Despicable Me (2010),Animation|Comedy|Family,A villain adopts three girls and his life changes forever.
11,Drive (2011),Action|Crime|Drama,A stunt driver moonlights as a getaway driver.
12,The Help (2011),Drama,Women challenge societal injustice in 1960s Mississippi.
13,Harry Potter and the Deathly Hallows Part 2 (2011),Adventure|Fantasy,The final battle between Harry and Voldemort unfolds.
14,Hugo (2011),Adventure|Drama,A boy uncovers secrets behind an automaton in a train station.
15,Moneyball (2011),Drama|Sport,A baseball manager uses analytics to build a winning team.
16,The Intouchables (2011),Comedy|Drama,A rich quadriplegic hires a lively caretaker from the projects.
17,The Girl with the Dragon Tattoo (2011),Mystery|Thriller,A journalist investigates a family鈥檚 dark history.
18,Kung Fu Panda 2 (2011),Animation|Action|Comedy,Po faces a villain with a deadly new weapon.
19,Rise of the Planet of the Apes (2011),Action|Sci-Fi,A scientist鈥檚 cure leads to the rise of intelligent apes.
20,X-Men: First Class (2011),Action|Sci-Fi,The origins of the friendship between Charles Xavier and Magneto.
21,Django Unchained (2012),Western|Drama,A freed slave works with a bounty hunter to rescue his wife.
22,The Avengers (2012),Action|Adventure|Sci-Fi,Earth鈥檚 heroes unite to stop an alien invasion.
23,Life of Pi (2012),Adventure|Drama,A boy survives a shipwreck with a tiger companion.
24,The Dark Knight Rises (2012),Action|Thriller|Drama,Batman returns to face the powerful terrorist Bane.
25,Argo (2012),Drama|Thriller,A CIA agent rescues hostages under the guise of a movie crew.
26,Looper (2012),Action|Sci-Fi,A hitman confronts his future self.
27,Brave (2012),Animation|Adventure,A princess seeks to change her fate with unexpected consequences.
28,Les Mis茅rables (2012),Drama|Musical,An ex-prisoner seeks redemption in revolutionary France.
29,The Hobbit: An Unexpected Journey (2012),Adventure|Fantasy,Bilbo joins dwarves on a quest to reclaim a kingdom.
30,Silver Linings Playbook (2012),Drama|Romance,Two troubled people find connection through dance.
31,Gravity (2013),Sci-Fi|Drama,A stranded astronaut fights to survive in space.
32,Frozen (2013),Animation|Family|Fantasy,A queen鈥檚 icy powers plunge the kingdom into winter.
33,Her (2013),Drama|Romance|Sci-Fi,A lonely man falls in love with an AI operating system.
34,Captain Phillips (2013),Drama|Thriller,A ship captain is taken hostage by Somali pirates.
35,The Wolf of Wall Street (2013),Comedy|Drama,A stockbroker rises and falls in a world of excess.
36,Prisoners (2013),Crime|Drama|Thriller,A father searches brutally for his missing daughter.
37,The Hunger Games: Catching Fire (2013),Adventure|Sci-Fi,Katniss becomes a symbol of rebellion.
38,The Conjuring (2013),Horror|Thriller,Paranormal investigators help a family facing evil forces.
39,12 Years a Slave (2013),Drama|Historical,A free man is kidnapped into slavery for twelve years.
40,Now You See Me (2013),Thriller|Crime|Mystery,Magicians perform heists during their shows.
41,Interstellar (2014),Sci-Fi|Adventure|Drama,A team travels through a wormhole to save humanity.
42,Guardians of the Galaxy (2014),Action|Comedy|Sci-Fi,Misfit heroes band together to save the galaxy.
43,Whiplash (2014),Drama|Music,A drummer is pushed to extremes by his demanding teacher.
44,The Lego Movie (2014),Animation|Adventure|Comedy,A normal Lego figure is mistaken for a legendary hero.
45,Birdman (2014),Drama|Comedy,An actor struggles to revive his career on Broadway.
46,The Imitation Game (2014),Drama|War,Alan Turing works to crack Nazi codes during WWII.
47,Big Hero 6 (2014),Animation|Action|Family,A robotics prodigy and his inflatable robot fight villains.
48,John Wick (2014),Action|Thriller,A retired hitman seeks revenge after a personal loss.
49,Gone Girl (2014),Thriller|Mystery,A man becomes the prime suspect when his wife disappears.
50,The Grand Budapest Hotel (2014),Comedy|Drama|Adventure,A concierge and his lobby boy become entangled in chaos.
